"Microservice", "Test", "Autoscaling", "PKG_Energy", "Response_Time"
carts,1,Carbon_Aware_KEDA,14.53,761
front-end,1,Carbon_Aware_KEDA,9.59,713
user,1,Carbon_Aware_KEDA,3.17,769
carts-db,1,Carbon_Aware_KEDA,5.34,
catalogue,1,Carbon_Aware_KEDA,3.26,694
catalogue-db,1,Carbon_Aware_KEDA,3.21,
orders,1,Carbon_Aware_KEDA,15.02,
orders-db,1,Carbon_Aware_KEDA,4.98,
payment,1,Carbon_Aware_KEDA,3.26,
queue-master,1,Carbon_Aware_KEDA,14.18,
rabbitmq,1,Carbon_Aware_KEDA,6.48,
session-db,1,Carbon_Aware_KEDA,3.17,
shipping,1,Carbon_Aware_KEDA,14.74,
user-db,1,Carbon_Aware_KEDA,3.17,
carts,2,Carbon_Aware_KEDA,14.71,1090
front-end,2,Carbon_Aware_KEDA,6.7,929
user,2,Carbon_Aware_KEDA,3.17,1173
carts-db,2,Carbon_Aware_KEDA,6.15,
catalogue,2,Carbon_Aware_KEDA,3.18,979
catalogue-db,2,Carbon_Aware_KEDA,3.12,
orders,2,Carbon_Aware_KEDA,29.94,
orders-db,2,Carbon_Aware_KEDA,3.17,
payment,2,Carbon_Aware_KEDA,3.16,
queue-master,2,Carbon_Aware_KEDA,13.97,
rabbitmq,2,Carbon_Aware_KEDA,7.06,
session-db,2,Carbon_Aware_KEDA,3.16,
shipping,2,Carbon_Aware_KEDA,13.57,
user-db,2,Carbon_Aware_KEDA,3.17,
carts,3,Carbon_Aware_KEDA,13.25,928
front-end,3,Carbon_Aware_KEDA,8.61,804
user,3,Carbon_Aware_KEDA,3.18,944
carts-db,3,Carbon_Aware_KEDA,3.14,
catalogue,3,Carbon_Aware_KEDA,3.19,843
catalogue-db,3,Carbon_Aware_KEDA,3.11,
orders,3,Carbon_Aware_KEDA,27.11,
orders-db,3,Carbon_Aware_KEDA,6.29,
payment,3,Carbon_Aware_KEDA,3.12,
queue-master,3,Carbon_Aware_KEDA,14.59,
rabbitmq,3,Carbon_Aware_KEDA,10.13,
session-db,3,Carbon_Aware_KEDA,3.17,
shipping,3,Carbon_Aware_KEDA,12.97,
user-db,3,Carbon_Aware_KEDA,3.13,