"Trial","Components","Workload","Microservices","DRAM_Energy","PKG_Energy"
1,Carbon-Aware-KEDA-Operator,With,1,0.069643,6.34
1,Carbon-Aware-KEDA-Operator,Without,1,0.069742,6.34
1,Carbon-Aware-KEDA-Operator,With,4,0.006974,6.34
1,Carbon-Aware-KEDA-Operator,Without,4,0.158862,6.34
1,Carbon-Aware-KEDA-Operator,With,8,0.211648,6.34
1,Carbon-Aware-KEDA-Operator,Without,8,0.218551,6.34
1,Carbon-Aware-KEDA-Operator,With,14,0.099438,6.34
1,Carbon-Aware-KEDA-Operator,Without,14,0.028148,6.34
2,Carbon-Aware-KEDA-Operator,With,1,0.13062,6.34
2,Carbon-Aware-KEDA-Operator,Without,1,0.15907,6.34
2,Carbon-Aware-KEDA-Operator,With,4,0.14698,6.34
2,Carbon-Aware-KEDA-Operator,Without,4,0.07806,6.34
2,Carbon-Aware-KEDA-Operator,With,8,0.16407,6.34
2,Carbon-Aware-KEDA-Operator,Without,8,0.07985,6.34
2,Carbon-Aware-KEDA-Operator,With,14,0.14194,6.34
2,Carbon-Aware-KEDA-Operator,Without,14,0.16657,6.34
3,Carbon-Aware-KEDA-Operator,With,1,0.07712,6.34
3,Carbon-Aware-KEDA-Operator,Without,1,0.16926,6.34
3,Carbon-Aware-KEDA-Operator,With,4,0.19115,6.34
3,Carbon-Aware-KEDA-Operator,Without,4,0.08658,6.34
3,Carbon-Aware-KEDA-Operator,With,8,0.13261,6.34
3,Carbon-Aware-KEDA-Operator,Without,8,0.15596,6.34
3,Carbon-Aware-KEDA-Operator,With,14,0.07959,6.34
3,Carbon-Aware-KEDA-Operator,Without,14,0.10367,6.34
4,Carbon-Aware-KEDA-Operator,With,1,0.11688,6.34
4,Carbon-Aware-KEDA-Operator,Without,1,0.19187,6.34
4,Carbon-Aware-KEDA-Operator,With,4,0.17495,6.34
4,Carbon-Aware-KEDA-Operator,Without,4,0.20114,6.34
4,Carbon-Aware-KEDA-Operator,With,8,0.21575,6.34
4,Carbon-Aware-KEDA-Operator,Without,8,0.13424,6.34
4,Carbon-Aware-KEDA-Operator,With,14,0.09949,6.34
4,Carbon-Aware-KEDA-Operator,Without,14,0.21123,6.34
5,Carbon-Aware-KEDA-Operator,With,1,0.15229,6.34
5,Carbon-Aware-KEDA-Operator,Without,1,0.08573,6.34
5,Carbon-Aware-KEDA-Operator,With,4,0.12564,6.34
5,Carbon-Aware-KEDA-Operator,Without,4,0.19382,6.34
5,Carbon-Aware-KEDA-Operator,With,8,0.09451,6.34
5,Carbon-Aware-KEDA-Operator,Without,8,0.10543,6.34
5,Carbon-Aware-KEDA-Operator,With,14,0.20094,6.34
5,Carbon-Aware-KEDA-Operator,Without,14,0.11715,6.34
1,Carbon-Intensity-Exporter,With,1,0.108922,9.51
1,Carbon-Intensity-Exporter,Without,1,0.108922,9.51
1,Carbon-Intensity-Exporter,With,4,0.105853,9.51
1,Carbon-Intensity-Exporter,Without,4,0.104167,9.51
1,Carbon-Intensity-Exporter,With,8,0.104166,9.51
1,Carbon-Intensity-Exporter,Without,8,0.104167,9.51
1,Carbon-Intensity-Exporter,With,14,0.104167,9.51
1,Carbon-Intensity-Exporter,Without,14,0.104167,9.51
2,Carbon-Intensity-Exporter,With,1,0.108742,9.51
2,Carbon-Intensity-Exporter,Without,1,0.106327,9.51
2,Carbon-Intensity-Exporter,With,4,0.105756,9.51
2,Carbon-Intensity-Exporter,Without,4,0.107956,9.51
2,Carbon-Intensity-Exporter,With,8,0.108324,9.51
2,Carbon-Intensity-Exporter,Without,8,0.107230,9.51
2,Carbon-Intensity-Exporter,With,14,0.106836,9.51
2,Carbon-Intensity-Exporter,Without,14,0.104789,9.51
3,Carbon-Intensity-Exporter,With,1,0.108052,9.51
3,Carbon-Intensity-Exporter,Without,1,0.107291,9.51
3,Carbon-Intensity-Exporter,With,4,0.107796,9.51
3,Carbon-Intensity-Exporter,Without,4,0.106248,9.51
3,Carbon-Intensity-Exporter,With,8,0.107278,9.51
3,Carbon-Intensity-Exporter,Without,8,0.105579,9.51
3,Carbon-Intensity-Exporter,With,14,0.105300,9.51
3,Carbon-Intensity-Exporter,Without,14,0.105248,9.51
4,Carbon-Intensity-Exporter,With,1,0.106612,9.51
4,Carbon-Intensity-Exporter,Without,1,0.106158,9.51
4,Carbon-Intensity-Exporter,With,4,0.108394,9.51
4,Carbon-Intensity-Exporter,Without,4,0.106726,9.51
4,Carbon-Intensity-Exporter,With,8,0.107298,9.51
4,Carbon-Intensity-Exporter,Without,8,0.107972,9.51
4,Carbon-Intensity-Exporter,With,14,0.104226,9.51
4,Carbon-Intensity-Exporter,Without,14,0.108638,9.51
5,Carbon-Intensity-Exporter,With,1,0.105051,9.51
5,Carbon-Intensity-Exporter,Without,1,0.105333,9.51
5,Carbon-Intensity-Exporter,With,4,0.107316,9.51
5,Carbon-Intensity-Exporter,Without,4,0.106676,9.51
5,Carbon-Intensity-Exporter,With,8,0.107617,9.51
5,Carbon-Intensity-Exporter,Without,8,0.106378,9.51
5,Carbon-Intensity-Exporter,With,14,0.108289,9.51
5,Carbon-Intensity-Exporter,Without,14,0.105649,9.51
1,KEDA,With,1,1.052944,9.51
1,KEDA,Without,1,1.053472,9.52
1,KEDA,With,4,1.053802,9.51
1,KEDA,Without,4,1.053969,9.51
1,KEDA,With,8,1.051862,9.51
1,KEDA,Without,8,1.053307,9.51
1,KEDA,With,14,1.052678,9.51
1,KEDA,Without,14,1.052956,9.51
2,KEDA,With,1,0.053810,9.51
2,KEDA,Without,1,0.053598,9.51
2,KEDA,With,4,0.052115,9.51
2,KEDA,Without,4,0.053197,9.51
2,KEDA,With,8,0.052237,9.51
2,KEDA,Without,8,0.053230,9.51
2,KEDA,With,14,0.051988,9.51
2,KEDA,Without,14,0.053706,9.51
3,KEDA,With,1,0.052350,9.51
3,KEDA,Without,1,0.053717,9.51
3,KEDA,With,4,0.052348,9.51
3,KEDA,Without,4,0.053375,9.51
3,KEDA,With,8,0.052108,9.51
3,KEDA,Without,8,0.053198,9.51
3,KEDA,With,14,0.052683,9.51
3,KEDA,Without,14,0.053205,9.51
4,KEDA,With,1,0.053746,9.51
4,KEDA,Without,1,0.052834,9.51
4,KEDA,With,4,0.052957,9.52
4,KEDA,Without,4,0.052494,9.51
4,KEDA,With,8,0.053566,9.51
4,KEDA,Without,8,0.052312,9.51
4,KEDA,With,14,0.053696,9.51
4,KEDA,Without,14,0.052951,9.51
5,KEDA,With,1,0.052553,9.51
5,KEDA,Without,1,0.053147,9.51
5,KEDA,With,4,0.052050,9.51
5,KEDA,Without,4,0.053212,9.51
5,KEDA,With,8,0.052744,9.51
5,KEDA,Without,8,0.052583,9.51
5,KEDA,With,14,0.053877,9.51
5,KEDA,Without,14,0.052818,9.51